district,area,perch,bedrooms,bathrooms,kitchen_area_sqft,parking_spots,has_garden,has_ac,water_supply,electricity,floors,year_built,price_lkr,nearest_city,property_type,house_size_sqft,house_age,condition,furnishing_status,road_access_width_ft,distance_to_main_road_km,distance_to_town_km,has_boundary_wall,has_servant_room,has_hot_water,has_security,roof_type,floor_type,listed_year,price_per_perch,bathroom_bedroom_ratio,luxury_score,location_category,house_selling_price_lkr
Polonnaruwa,Polonnaruwa Central,14,5,4,112,2,FALSE,FALSE,Pipe-borne,Single phase,1,2022,16236332,Polonnaruwa,House,2720,4,Good,Fully furnished,10,4.21,3.69,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2023,1159738,0.8,6,Semi-urban,45767000
Matale,Matale Central,26,7,5,250,2,TRUE,FALSE,Both,Single phase,3,1987,33907509,Matale,House,3900,39,Needs renovation,Unfurnished,12,2.6,5.94,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,1304135,0.71,4,Semi-urban,44445000
Mullaitivu,Mullaitivu Central,7,3,2,77,2,TRUE,TRUE,Well,Single phase,1,1988,5954312,Mullaitivu,House,1460,38,Needs renovation,Fully furnished,15,2.23,17.41,FALSE,FALSE,TRUE,FALSE,Concrete slab,Tile,2024,850616,0.67,8,Rural,11291000
Anuradhapura,New Town,2,2,2,39,1,TRUE,TRUE,Both,Three phase,2,2024,5177534,Anuradhapura,House,1350,2,New,Fully furnished,20,0.85,8.27,FALSE,FALSE,FALSE,FALSE,Tile,Tile,2025,2588767,1,7,Semi-urban,18121000
Batticaloa,Batticaloa Town,20,5,4,117,1,TRUE,TRUE,Well,Single phase,1,1995,20182409,Batticaloa,House,2790,31,Needs renovation,Fully furnished,12,6.26,12.08,TRUE,TRUE,FALSE,FALSE,Asbestos,Tile,2024,1009120,0.8,7,Rural,30668000
Mullaitivu,Mullaitivu Central,23,7,5,232,1,TRUE,FALSE,Well,Three phase,3,2021,23615818,Mullaitivu,Villa,3520,5,Good,Unfurnished,25,4.51,4.13,TRUE,FALSE,TRUE,FALSE,Tile,Tile,2026,1026775,0.71,5,Rural,45061000
Kalutara,Beruwala,19,7,5,247,2,TRUE,TRUE,Pipe-borne,Three phase,2,1997,38172705,Kalutara,House,3680,29,Needs renovation,Semi furnished,12,1.5,4.51,TRUE,FALSE,TRUE,TRUE,Concrete slab,Tile,2023,2009090,0.71,10,Urban,63064000
Ratnapura,Kuruwita,3,2,1,35,2,FALSE,FALSE,Pipe-borne,Single phase,1,1990,4234524,Ratnapura,House,1100,36,Needs renovation,Unfurnished,15,2.42,7.55,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2023,1411508,0.5,3,Semi-urban,7824000
Jaffna,Chunnakam,8,3,3,55,1,TRUE,TRUE,Both,Single phase,1,1990,10184076,Jaffna,House,1640,36,Needs renovation,Fully furnished,30,1.14,2.38,FALSE,FALSE,TRUE,TRUE,Tile,Tile,2026,1273010,1,8,Urban,18329000
Badulla,Badulla Town,7,3,2,89,0,FALSE,FALSE,Well,Single phase,1,2023,8733878,Badulla,House,1640,3,New,Semi furnished,30,2.37,2.78,FALSE,FALSE,TRUE,FALSE,Tile,Cement,2023,1247697,0.67,2,Semi-urban,25324000
Vavuniya,Vavuniya Central,43,6,5,250,3,FALSE,FALSE,Pipe-borne,Single phase,3,2001,37541652,Vavuniya,Bungalow,3480,25,Average,Unfurnished,15,8.6,4.46,TRUE,FALSE,FALSE,TRUE,Concrete slab,Tile,2025,873062,0.83,5,Rural,48763000
Mannar,Mannar Central,25,5,4,250,2,TRUE,TRUE,Both,Single phase,2,2016,32837599,Mannar,House,3020,10,Good,Unfurnished,20,8.47,15.84,TRUE,FALSE,FALSE,FALSE,Concrete slab,Tile,2026,1313504,0.8,6,Rural,43654000
Polonnaruwa,Polonnaruwa Central,22,7,5,250,3,FALSE,FALSE,Well,Single phase,3,1989,26636331,Polonnaruwa,Villa,3620,37,Needs renovation,Unfurnished,10,1.65,3.42,TRUE,TRUE,FALSE,FALSE,Concrete slab,Tile,2023,1210742,0.71,4,Semi-urban,35197000
Vavuniya,Vavuniya Central,3,1,1,49,0,TRUE,FALSE,Both,Single phase,1,2004,3877762,Vavuniya,House,610,22,Average,Unfurnished,12,8.12,12.8,TRUE,FALSE,TRUE,FALSE,Tile,Terrazzo,2024,1292587,1,3,Rural,6274000
Kilinochchi,Kilinochchi Central,4,1,1,36,0,FALSE,FALSE,Well,Three phase,1,2017,4464475,Kilinochchi,Annex,900,9,Good,Unfurnished,12,2.24,9.84,FALSE,FALSE,TRUE,FALSE,Tile,Tile,2024,1116119,1,2,Rural,10025000
